company_name,rating,reviews,company_type,locations
Indian Air Force,4.5,(3.2k),Defence & Aerospace,New Delhi +134 other locations
InterGlobe Aviation,3.5,(3.2k),Aviation,New Delhi +104 other locations
TVS Credit Services Ltd,4.2,(3.2k),NBFC,Chennai +423 other locations
Niva Bupa Health Insurance Company,4.1,(3.2k),Insurance,New Delhi +319 other locations
Conduent,3.4,(3.2k),BPO,Bangalore / Bengaluru +35 other locations
Alstom Transportation,3.7,(3.2k),Engineering & Construction,Bangalore / Bengaluru +80 other locations
Croma,3.8,(3.2k),Retail,Mumbai +191 other locations
GeBBS Healthcare Solutions,3.7,(3.2k),BPO,Mumbai +26 other locations
Tata Technologies,3.4,(3.2k),Engineering & Construction,Pune +55 other locations
Allcargo Logistics,3.8,(3.2k),Logistics,Mumbai +175 other locations
Tata AIG,4.0,(3.2k),Insurance,Mumbai +260 other locations
Marpu Foundation,4.9,(3.1k),Non-Profit,Hyderabad / Secunderabad +61 other locations
Max Healthcare,3.9,(3.1k),Healthcare,New Delhi +78 other locations
UPL,4.1,(3.1k),Agro Chemicals,Ankleshwar +186 other locations
Amazon Transportation Services,4.2,(3.1k),Logistics,Hyderabad / Secunderabad +228 other locations
PepsiCo,4.0,(3.1k),Food Processing,Hyderabad / Secunderabad +275 other locations
Titan Company,4.2,(3.1k),Retail,Bangalore / Bengaluru +182 other locations
Dilip Buildcon,3.9,(3.1k),Engineering & Construction,Bhopal +225 other locations
Mankind Pharma,3.8,(3.1k),Pharma,New Delhi +247 other locations
Walmart,3.4,(3.1k),Retail,Bangalore / Bengaluru +92 other locations
Varroc Group,3.6,(3.1k),Auto Components,Pune +62 other locations
Future Group,4.2,(3.1k),Retail,Mumbai +208 other locations
S&P Global,4.0,(3.1k),Analytics & KPO,Hyderabad / Secunderabad +47 other locations
Jindal Stainless,4.1,(3k),Iron & Steel,Jajpur +76 other locations
MSN Laboratories,3.6,(3k),Pharma,Hyderabad / Secunderabad +105 other locations
Afcons Infrastructure,4.2,(3k),Engineering & Construction,Mumbai +121 other locations
Societe Generale Global Solution Centre,3.6,(3k),IT Services & Consulting,Bangalore / Bengaluru +24 other locations
Torrent Pharmaceuticals,4.0,(3k),Pharma,Ahmedabad +129 other locations
Quest Global,3.5,(3k),IT Services & Consulting,Bangalore / Bengaluru +49 other locations
Square Yards,3.6,(3k),Internet,Gurgaon / Gurugram +51 other locations
CMS IT Services,3.1,(3k),IT Services & Consulting,Mumbai +152 other locations
ACC,3.9,(2.9k),Building Material,Mumbai +273 other locations
I Process Services,3.8,(2.9k),Recruitment,Mumbai +405 other locations
HDFC Sales,3.9,(2.9k),Financial Services,Mumbai +345 other locations
IDFC FIRST Bharat,4.2,(2.9k),Financial Services,Chennai +421 other locations
Zensar Technologies,3.7,(2.9k),IT Services & Consulting,Pune +28 other locations
Suzlon Group,4.0,(2.9k),Power,Pune +142 other locations
ESAF Small Finance Bank,3.6,(2.9k),Banking,Thrissur +439 other locations
DS Group,4.1,(2.9k),FMCG,Noida +281 other locations
Shoppers Stop,4.0,(2.9k),Retail,Mumbai +83 other locations
Sagility,3.9,(2.9k),BPO,Bangalore / Bengaluru +27 other locations
Eternal Limited,3.7,(2.9k),Internet,Gurgaon / Gurugram +219 other locations
Tata Elxsi,3.5,(2.9k),IT Services & Consulting,Bangalore / Bengaluru +30 other locations
Ola Electric Mobility,3.4,(2.9k),Automobile,Bangalore / Bengaluru +419 other locations
Fujitsu,3.8,(2.9k),IT Services & Consulting,Pune +41 other locations
VVDN Technologies,3.6,(2.9k),IT Services & Consulting,Gurgaon / Gurugram +49 other locations
Indus Towers,3.6,(2.9k),Telecom,Gurgaon / Gurugram +240 other locations
Nokia,4.0,(2.8k),Telecom,Bangalore / Bengaluru +166 other locations
Apollo Tyres,4.0,(2.8k),Auto Components,Chennai +181 other locations
Yazaki,3.9,(2.8k),Auto Components,Pune +95 other locations
IKS Health,3.6,(2.8k),Healthcare,Mumbai +31 other locations
Bharat Financial Inclusion,3.7,(2.8k),Financial Services,Hyderabad / Secunderabad +492 other locations
Fiserv,2.9,(2.8k),FinTech,Pune +32 other locations
UnitedHealth,4.0,(2.8k),Healthcare,Hyderabad / Secunderabad +17 other locations
Shree Cement,3.8,(2.8k),Building Material,Beawar +255 other locations
Landmark Group,3.8,(2.8k),Retail,Bangalore / Bengaluru +173 other locations
SRF,4.1,(2.7k),Chemicals,Bharuch +67 other locations
Dalmia Bharat Cement,3.9,(2.7k),Building Material,Guwahati +249 other locations
Britannia,4.0,(2.7k),FMCG,Pune +299 other locations
Blue Dart Express Ltd,3.9,(2.7k),Logistics,Mumbai +279 other locations
Kansai Nerolac Paints,3.8,(2.7k),Chemicals,Mumbai +253 other locations
Exide Industries,3.4,(2.7k),Auto Components,Kolkata +199 other locations
Whitehat jr,3.3,(2.7k),EdTech,Mumbai +49 other locations
Shell,3.9,(2.7k),Oil & Gas,Bangalore / Bengaluru +91 other locations
Flex,3.9,(2.7k),Electronics Manufacturing,Chennai +46 other locations
Nestlé,3.8,(2.7k),FMCG,Gurgaon / Gurugram +279 other locations
Zepto,3.5,(2.7k),Internet,Bangalore / Bengaluru +101 other locations
Capita,3.5,(2.7k),BPO,Pune +31 other locations
Micro Labs,3.6,(2.7k),Pharma,Bangalore / Bengaluru +151 other locations
ElasticRun,3.6,(2.6k),Logistics,Pune +386 other locations
TVS Supply Chain Solutions,3.8,(2.6k),Logistics,Chennai +153 other locations
KPMG Global Services,3.4,(2.6k),Management Consulting,Bangalore / Bengaluru +37 other locations
KFintech,3.4,(2.6k),Financial Services,Hyderabad / Secunderabad +113 other locations
ZS,3.1,(2.6k),Management Consulting,Pune +16 other locations
Star Health & Allied Insurance,3.5,(2.6k),Insurance,Chennai +327 other locations
G4S,4.0,(2.6k),Law Enforcement & Security,Gurgaon / Gurugram +162 other locations
Voltas,4.0,(2.6k),Consumer Electronics & Appliances,Mumbai +206 other locations
Tata Electronics,3.9,(2.6k),Semiconductors,Hosur +49 other locations
Sonalika Tractors,3.6,(2.6k),Automobile,Hoshiarpur +192 other locations
BlackBuck,3.7,(2.6k),Internet,Bangalore / Bengaluru +365 other locations
Ajanta Pharma,3.9,(2.6k),Pharma,Mumbai +118 other locations
Blue Star,4.1,(2.6k),Consumer Electronics & Appliances,Mumbai +147 other locations
Domino's Pizza,3.9,(2.6k),Hospitality,New Delhi +246 other locations
Care Health Insurance,3.6,(2.6k),Insurance,Gurgaon / Gurugram +243 other locations
ACT Fibernet,3.9,(2.5k),Telecom,Hyderabad / Secunderabad +57 other locations
Fortis Healthcare,4.0,(2.5k),Healthcare,New Delhi +69 other locations
Exl India,3.6,(2.5k),Logistics,New Delhi +43 other locations
NoBroker,3.0,(2.5k),Internet,Bangalore / Bengaluru +47 other locations
Gallagher,3.7,(2.5k),Insurance,Bangalore / Bengaluru +28 other locations
Adani Power,3.7,(2.5k),Power,Mundra +127 other locations
Bajaj Electricals,3.9,(2.5k),Consumer Electronics & Appliances,Mumbai +233 other locations
Sahrudaya Healthcare (Medicover Hospitals),4.4,(2.5k),Healthcare,Hyderabad / Secunderabad +45 other locations
Movate,3.1,(2.5k),IT Services & Consulting,Chennai +38 other locations
Sterlite Technologies,3.8,(2.5k),Hardware & Networking,Aurangabad +101 other locations
DBS Bank,3.7,(2.5k),Banking,Hyderabad / Secunderabad +176 other locations
Sammaan Capital Limited,3.8,(2.5k),NBFC,Gurgaon / Gurugram +201 other locations
